gene_id,sequence
XP_060677044.1,FAM162B
XP_060639043.1,MPV17L
XP_060540689.1,TMEM272
Q8N8V8.1,TMEM105
XP_060614835.1,SLC25A34
XP_060631369.1,NKAIN3
Q8IVJ8.2,C3orf35
XP_060462807.1,MS4A10
XP_060635598.1,REELD1
XP_060628625.1,TEX38
XP_060703754.1,TMIGD1
XP_060545752.1,TMEM81
XP_060622751.1,TMEM212
Q6ZUB0.2,SPATA31D4
XP_060710464.1,SLC25A35
NP_001339617.1,SMIM30
XP_060548040.1,SERTM2
XP_060540554.1,CTXN1
KAK2504262.1,SPATA31C1
A6NJU9.4,NPIPB13
XP_060700374.1,TMEM232
XP_060708269.1,FNDC10
XP_060489954.1,SMIM23
B4DYI2.2,SPATA31C2
KAK2509155.1,SPATA31A1
XP_060704086.1,TLCD2
XP_042094222.1,MS4A18
XP_060617991.1,MINAR2
XP_060501371.1,SMIM6
XP_060466378.1,SMIM9
XP_060003469.1,SMIM31
XP_060615177.1,TPBGL
XP_060704557.1,FAM187A
XP_060611840.1,CTXND1
XP_059756704.1,LINC00596
KAK2494105.1,SMIM34B
XP_060601868.1,C17orf113
XP_060619683.1,TMEM271
XP_060543713.1,TSPAN32
DBA36524.1,TRBV30
DBA36519.1,TRBV23-1
A0A5B0.1,TRBV14
KAK2489299.1,TRBV11-1
A0A1B0GX51.1,TRBV7-8
A0A1B0GXF2.1,TRBV7-2
A0A0A6YYG2.5,TRBV6-6
A0A0A0MS05.1,TRBV5-7
KAK2509746.1,TRBV4-3
A0A075B700.2,TRAJ31
XP_060611139.1,CATSPERB
XP_060635229.1,GPRIN3
XP_034261006.2,LZTS3
XP_060694315.1,DBNDD1
XP_060550600.1,CCDC38
XP_060543348.1,CEP128
XP_060548425.1,TCTE1
XP_060614272.1,CFAP126
KAK1340483.1,PRAMEF9
XP_060624995.1,SH2D4B
NP_084224.1,PRAMEF12
P0DPF3.1,NBPF9
KAK2507098.1,GGNBP1
Q5SWL8.2,PRAMEF19
P0DUQ1.1,PRAMEF15
Q86XG9.2,NBPF5P
XP_034285238.1,ASDURF
XP_060680220.1,TCAIM
NP_001116370.1,XG
A0A0A0MS02.1,TRGV1
KAK2095880.1,TRGV10
Q9UND3.3,NPIPA1
XP_060660174.1,FAM76A
F8WFD2.1,NPIPA3
E9PKD4.1,NPIPA5
XP_058283813.1,LINC01547
NP_001265663.1,SNORD116-18
NP_001412250.1,IGKV1OR2-11
NP_033980.1,SNORD116-24
NP_001412218.1,SNORD115-8
NP_001411392.1,SNORD115-21
A6NC78.2,GOLGA8IP
KAK2090443.1,GOLGA8K
P0CJ92.1,GOLGA8H
XP_060702935.1,CCDC15
XP_060476953.1,TEX22
XP_060540579.1,STPG3
XP_060506077.1,SYCE1L
Q3LI68.1,KRTAP22-2
A0A286YFG1.1,SCYGR8
P0DSO2.1,SCYGR9
XP_060680305.1,CHCHD7
XP_060700126.1,CFAP251
NP_001264602.1,UQCRHL
A0A075B706.2,TRDJ1
A0A0A0MT87.2,TRBJ2-4
A0A0J9YXM7.2,TRBJ1-5
P0DPI4.1,TRBD1
KAK2103943.1,TRAV34
DBA36409.1,TRAV24
DBA36401.1,TRAV16
DBA36399.1,TRAV10
KAK1156684.1,TRAV7
A0A0B4J248.1,TRAV1-1
XP_060480479.1,ZYG11A
A6NJ88.4,SAGE2P
Q9NSQ0.1,RRP7BP
XP_060542755.1,STOX2
XP_059520519.1,KRBOX1
XP_060616795.1,ANKDD1B
XP_012014458.1,C12orf29
XP_060688104.1,GAB3
XP_060690739.1,HTT-AS
NP_054730.1,CASC2
A8K010.2,LINC00473
NP_001005527.1,MIR124-2
NP_083177.2,MIR760
NP_001371467.1,MIR3180-5
NP_061824.3,HOXA10-AS
XP_060634823.1,FHIP1A
O15263.1,DEFB4B
NP_001257446.1,CENPS-CORT
NP_001186710.1,POC1B-GALNT4
NP_001180218.1,APOBEC3A_B
NP_001152975.1,TNFSF12-TNFSF13
Q9BYT5.3,KRTAP2-2
NP_001229256.1,USP17L29
SJX29677.1,HSD17B7P2
XP_060543377.1,SAMD15
XP_060681535.1,RUNDC3B
NP_001129514.2,PTGES3L-AARSD1
XP_060686241.1,LRRC42
KAK1174865.1,HMGB1P1
XP_030860822.2,FAM182A
XP_060627610.1,SAMD10
KAJ7396159.1,ZNF767P
XP_060542162.1,ANKRD42
XP_060699477.1,FAM222A
XP_007538006.1,CPXCR1
XP_060627572.1,KIAA1755
KAK2508584.1,C11orf53
WOP77988.1,PART1
Q5VT28.1,FAM27B
XP_060549040.1,PDZD9
XP_060683942.1,C2orf81
NP_001191385.1,ZNF890P
SBP58693.1,RNASEK-C17orf49
XP_060630424.1,AXDND1
Q96MF4.1,CCDC140
XP_060691843.1,C3orf49
XP_059777776.1,IGF2BP2-AS1
XP_060549272.1,FAM227B
XP_060636870.1,PRR15L
XP_060690271.1,KLHL30
NP_001351253.1,BCRP2
Q05BU3.1,FAM86JP
Q9BTD1.2,SHANK2-AS3
XP_060615844.1,PLAC8L1
XP_060465375.1,C9orf131
XP_034292321.1,TEX36
NP_001186676.1,LINC01106
XP_060537674.1,CNBD1
Q75LS8.1,FKBP9P1
XP_060540301.1,CCDC71
XP_060614486.1,RIIAD1
XP_060515614.1,C12orf42
XP_057156466.1,LINC00305
NP_113718.1,PCBP1-AS1
AIC61803.1,WDFY3-AS2
Q8NAE3.1,LINC01555
XP_060544902.1,CCDC149
XP_060708349.1,FAM89A
Q96DM1.3,PGBD4
XP_060695050.1,KIAA2026
XP_060611883.1,SH2D7
SJX42779.1,RPL23AP82
KAG3280436.1,OR7E14P
XP_060582981.1,FAM227A
XP_060620602.1,UBALD2
XP_060635612.1,FAM47A
XP_060513630.1,FAM186A
A0PJZ0.1,ANKRD20A5P
XP_060543640.1,CCDC73
XP_060691044.1,KBTBD12
XP_060614547.1,TTC24
XP_060710927.1,C19orf67
A6NEY3.3,GOLGA6L3
XP_060697766.1,CC2D2B
SJX36731.1,TBC1D3P2
XP_060550824.1,BEND4
B3EWG6.1,FAM25G
NP_783323.1,LINC00943
XP_060680224.1,C8orf76
KAK2498268.1,CCDC189
NP_001153826.1,ZNF252P-AS1
DBA36016.1,IGKV7-3
6N2H_A,POTEH
QGH77502.1,RNU6-50P
ABC89354.1,RNU6-858P
APU57910.1,RNU6-228P
ABC89079.1,RNU6-428P
AEW91528.1,RNU6-490P
WP_284578802.1,RNU5D-2P
ACU29873.1,RNU7-181P
ABC90318.1,RNU6-529P
QWX93191.1,RNU6-112P
ABC93638.1,RNU6-640P
WET61014.1,RNU6-105P
NP_055205.2,SNAI3-AS1
NP_001268357.1,RNU4-87P
WCC60097.1,RNU6-188P
ACU29942.1,RNU6-353P
3QTO_I,RNU4-10P
QWT72246.1,RNU6-1251P
NP_000662.3,RNU6-60P
AWD73827.1,RNU6-828P
WP_112073416.1,RNU4-8P
APU58108.1,RNU6-702P
AGZ83483.1,RNU6-650P
XP_060275488.1,CCDC162P
XP_060687980.1,CCDC160
XP_060495021.1,TRPC5OS
XP_060702723.1,CXorf65
NP_001801.1,LINC01123
XP_016798228.1,LINC01545
KAK2494032.1,FAM71F2
NP_906270.1,CALML3-AS1
XP_060503565.1,C17orf107
XP_024899390.1,DPP9-AS1
SJX38497.1,OR7E91P
WP_317178555.1,HCP5
ABC89400.1,RNU6-946P
RVW72009.1,RNU1-1
ABF06457.1,RNU6-1189P
QWX93129.1,RNU6-128P
QGH77220.1,RNU6-44P
ACU29922.1,RNU6-260P
ABC91914.1,RNU6-571P
CAE44792.1,RNU6-1200P
AEW91521.1,RNU6-481P
NP_001408262.1,RNU6-4P
QWX93221.1,RNU6-167P
ABC89641.1,RNU6-1226P
ABC90918.1,RNU6-729P
WKK96619.1,RNU7-45P
WLP00208.1,RNU6-18P
ABC93386.1,RNU6-1160P
YP_277513.1,RNU7-73P
AEW91501.1,RNU6-455P
QWQ58859.1,RNU6-331P
1LC8_A,RNU6-33P
KAK3190500.1,MT-TV
NP_005646.1,MT-TW
P08411.2,MT-TS1
KAK3191872.1,MT-TH
QQP22795.1,MT-TT
ATV91111.1,IGKJ4
ATV91497.1,IGLJ7
3GSN_A,TRAJ49
4LCW_H,TRAJ33
6AVG_P,TRAJ21
8GVI_P,TRAJ10
CCN80055.1,TRAJ2
ATV90917.1,IGHD3-9
AAM55049.1,RNU6-530P
ABC89368.1,RNU6-876P
Q4KMX7.2,FAM106A
Q92535.1,PIGCP1
XP_060505821.1,CEACAM18
ALI29901.1,LDHAP4
SJX44621.1,LRRC37A4P
XP_060514064.1,C12orf71
SJX44577.1,KRT16P3
NP_001091949.1,HLA-F-AS1
P0CL81.1,GAGE12G
NP_001186285.1,RPL17-C18orf32
SJX24551.1,GUSBP9
NP_001238754.1,LINC00955
XP_046788030.1,MTMR9LP
ABC93390.1,RNU6-1165P
Q9NSJ1.2,RNU6-355P
CAK03273.1,RNU6-402P
ACY09622.1,RNU6-1190P
QWX93236.1,RNU6-177P
WKK96701.1,RNU6-57P
AEW91544.1,RNU6-516P
QSH47754.1,MEG9
NP_001257873.1,NUTM2A-AS1
NP_002648.1,LGALS8-AS1
NP_997663.1,HAGLR
XP_016070413.1,OLFM5P
XP_060547612.1,PRR29
NP_001397938.1,LINC00885
NP_006393.2,LAMTOR5-AS1
NP_113794.1,LINC00092
XP_060544345.1,MKRN2OS
F2Z3F1.1,C5orf67
Q8LN68.1,OSTCP8
NP_001382438.1,STK4-AS1
NP_001108248.1,CARM1P1
NP_031399.2,FALEC
XP_054177461.1,DHFRP2
XP_034277442.1,SAPCD1
A6NM66.1,LINC01548
SJX29711.1,RPL21P44
NP_001230814.1,TOB1-AS1
NP_853662.1,LINC01436
NP_001407341.1,IGKV1OR2-108
XP_006230797.1,DOC2GP
NP_598761.2,TRAF3IP2-AS1
NP_004699.1,LEF1-AS1
NP_038460.4,TONSL-AS1
NP_001263222.2,KIZ-AS1
NP_008841.2,SLCO4A1-AS1
NP_001363851.1,LINC00342
NP_036318.1,CYP1B1-AS1
AHM92456.1,RPEP4
SJX28409.1,CTAGE7P
Q96N53.1,LINC00167
NP_001317380.1,HOTAIRM1
CAQ52938.1,DDX11L10
NP_001230049.1,POU6F2-AS2
NP_444284.1,GLIS2-AS1
XP_060505717.1,C16orf82
NP_001307684.1,MAGI2-AS3
NP_001313471.1,FOXP4-AS1
KAI4071831.1,HNRNPUL2-BSCL2
NP_035997.1,SOX9-AS1
XP_060705200.1,C19orf81
XP_060550164.1,ANKRD65
7STG_Z,HLA-Z
ALI29891.1,LDHAP2
NP_001381665.1,PHACTR2-AS1
NP_612470.2,TM4SF19-AS1
A4QN01.1,LINC01553
NP_004246.2,COX7CP1
NP_002961.1,ASMTL-AS1
SJX23929.1,SLC25A3P1
CAQ52932.1,DDX11L2
XP_058906117.1,CT47B1
AAB00538.1,PKMP1
NP_001308315.1,PITPNA-AS1
NP_004424.3,MYB-AS1
A6NH13.2,DNAJC9-AS1
NP_001258537.1,CBR3-AS1
CAQ52936.1,DDX11L5
NP_001335187.1,HAND2-AS1
NP_001165124.1,NR2F1-AS1
NP_001308572.1,FOXD2-AS1
NP_060140.2,LINC00857
NP_001138984.1,NFIA-AS2
Q5JQC4.1,CT47A5
NP_001157412.1,KCNMB2-AS1
A0A494C1R9.1,TSPY9P
NP_001287786.1,LINC01410
QWX92760.1,RNU7-140P
QWX93246.1,RNU7-186P
YP_010903178.1,RNU7-96P
XP_060500451.1,C1orf226
CUF07627.1,CYMP
NP_067705.1,TCAM1P
YP_007112217.1,SETP14
KAK2493368.1,KRTAP4-7
SJX34183.1,GUSBP2
UYS90887.1,TRBV5-2
ATV90904.1,IGHJ3
F6ULY1.1,WFDC6
ADG91120.1,RPL23AP63
NP_000513.2,HOTTIP
SJX42521.1,ECEL1P2
NP_001356715.1,CRNDE
Q04917.4,SNCA-AS1
NP_001304789.1,FOXD1-AS1
NP_001001420.1,LINC01194
NP_001185689.1,LY75-CD302
NP_001365345.1,CASC11
NP_001177790.1,XBP1P1
KAK2489219.1,TMPRSS11BNL
P0CZ25.1,DNAH10OS
NP_001185722.1,ARPC4-TTLL3
SJX32397.1,LRRC37BP1
NP_001185839.1,CCDC169-SOHLH2
NP_001017420.1,ZFPM2-AS1
NP_001362839.1,THAP9-AS1
Q9LE42.1,PCAT4
ABN70700.1,SETP12
Q60651.2,RNU4-49P
AHM98299.1,RNU6-1196P
AEW91510.1,RNU6-469P
WKK96699.1,RNU4-54P
QWX93199.1,RNU6-118P
ACU29933.1,RNU6-344P
QWX92773.1,RNU7-160P
ABC94064.1,RNU6-1016P
CAE44746.1,RNU6-786P
WCL52324.1,RNU6-143P
ABC89043.1,RNU6-856P
CAE42668.1,RNU6-685P
DBA13214.1,IGHV3-62
ARW79927.1,IGLV2-5
XP_060681342.1,EVX1-AS
NP_037018.2,HOXA-AS2
8DTX_B,IGHV1-68
CAE42968.1,RNU6-323P
5T33_L,IGLV3-24
8EKF_HHH,IGHV3-19
DBA12327.1,IGHV3-75
KAI4003599.1,CHKB-CPT1B
NP_001186673.1,SAA2-SAA4
NP_001128520.1,AGAP2-AS1
NP_001074.2,ARAP1-AS1
XP_060251326.1,C17orf100
KAI4002171.1,SPECC1L-ADORA2A
NP_001317714.1,LINC00520
KAI4038811.1,UBE2F-SCLY
NP_001186689.1,ST20-MTHFS
NP_001030506.1,TPSP2
P0CG43.1,FAM157C
NP_001352153.1,ADPGK-AS1
NP_005242.1,C2-AS1
NP_001382441.1,PAN3-AS1
NP_001273897.1,LOXL1-AS1
XP_060612940.1,CCDC92B
SJX24095.1,TBC1D3P5
NP_001254523.1,UXT-AS1
NP_001382865.1,PARD6G-AS1
NP_001258522.1,DNAH17-AS1
NP_001349414.1,FENDRR
NP_001338779.1,LINC01082
NP_001390655.1,TSIX
XP_015892553.3,IGKV2OR2-7D
ADQ01581.1,IGHV3OR16-13
Q9C793.1,ARF4-AS1
5V87_B,RNU6-91P
NP_055551.1,LINC01138
XP_060628730.1,C8orf89
XP_060104172.1,C17orf98
NP_001383885.1,GOLGA6L22
NP_001192063.1,SENP3-EIF4A1
O95744.1,PMS2P2
NP_001380946.1,SH3PXD2A-AS1
UNI96904.1,INE2
NP_001346454.1,RBM5-AS1
NP_001393303.1,LINC00891
Q6ZTU2.2,EP400P1
NP_004299.1,RPPH1-3P
XP_060686944.1,SANBR
XP_024831948.2,LGTN
NP_001186048.1,TRIM39-RPP21
NP_066276.2,LINC00265-3P
KAK2493324.1,SPATA48
XP_060695403.1,TMEM121B
KAK1328795.1,H2BC20P
XP_058285325.1,CCDC28A-AS1
SJX28909.1,VN1R10P
NP_001307552.1,BOLA2-SMG1P6
BAE90338.1,GTSE1-DT
P0DO92.1,CDIPTOSP
XP_034287204.1,CRACDL
